id,ref_simple,Désignation,nom_marque,Catégories,cat1,cat2,cat3,Prix public 1,Stock final des 12 mois,Date de création,Date de mise à jour,image-1
41,SMI4HTB31E,ser4.13c.44db.connect.A++A.noir.,BOSCH,Gros électroménager,Lave-vaisselle,Lave-vaisselle encastrable,,"779,99",2,09/03/2021,05/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/41/SMI4HTB31E-1.jpg
42,SMV2ITX18E,LAVE VAISSELLE BOSCH,BOSCH,Gros électroménager,Lave-vaisselle,Lave-vaisselle encastrable,,"699,99",1,09/06/2021,08/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/42/SMV2ITX18E-1.jpg
43,S513K60XOE,LAVE VAISSELLE NEFF,NEFF,Gros électroménager,Lave-vaisselle,Lave-vaisselle encastrable,,"689,9",1,24/12/2020,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/43/S513K60XOE-1.jpg
44,SC4EASYFIX,NETTOYEUR VAPEUR,Karcher,,,,,"279,99",1,27/07/2022,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/44/SC4EASYFIX-1.jpg
45,Q141062,SURFACE VITROCERAMIQUE,BOSCH,Gros électroménager,Cuisson,Plaque de cuisson,,310,1,04/07/2023,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/45/Q141062-1.jpg
46,18057F,CENTRIFUGEUSE,MAGIMIX,Petit-électroménager,Centrifugeuse,,,"299,99",1,29/11/2019,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/46/18057F-1.jpg
47,282031,CHAUFFE EAU BLINDE 300L THERMOR,THERMOR,Chauffage,,Chauffe-eau,,649,1,22/08/2022,31/01/2024,http://nas.latelier22.fr/pascal-chantrel/images/47/282031-1.jpg
48,RDSA280K40SN,"250l.204+46.h160,6l54.37db.EC.gris acier",BEKO,Gros électroménager,Froid,Réfrigérateur,,"429,99",1,20/02/2024,05/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/48/RDSA280K40SN-1.jpg
49,KGV58VLEAS,503l.377+126.h191l70.4*.40db.EC.inox.,BOSCH,Gros électroménager,Froid,Réfrigérateur,,"1059,99",1,08/03/2024,08/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/49/KGV58VLEAS-1.jpg
50,KGV33VLEAS,COMBI BOSCH INOX,BOSCH,Gros électroménager,Froid,Réfrigérateur,,"799,99",1,20/03/2021,08/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/50/KGV33VLEAS-1.jpg
51,LNT5MF32U0,"330l.230+100.h186l59,5.42db.FD.",ELECTROLUX,Gros électroménager,Froid,Réfrigérateur,,"929,99",1,08/03/2024,08/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/51/LNT5MF32U0-1.jpg
52,KTS12721,121l.4*.h85l50.40db.FC.blanc.,Liebherr,Gros électroménager,Froid,Réfrigérateur,,"379,99",1,10/08/2021,14/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/52/KTS12721-1.jpg
53,FRAN23FW,REFRIGERATEUR FAURE,FAURE,Gros électroménager,Froid,Réfrigérateur,,"649,99",1,19/03/2021,21/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/53/FRAN23FW-1.jpg
54,DA7011PA,evac.7kg.15prg.clC.blanc.,BEKO,Gros électroménager,Sèche-linge,,,"379,99",1,05/09/2019,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/54/DA7011PA-1.jpg
55,WT45HV14FR,iq300.ppe chal.8kg.fdiff.65db.A++B.,SIEMENS,Gros électroménager,Sèche-linge,,,"899,99",1,08/03/2024,08/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/55/WT45HV14FR-1.jpg
56,IND80111,SECHE LINGE INDESIT,INDESIT,Gros électroménager,Sèche-linge,,,370,1,02/05/2017,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/56/IND80111-1.jpg
57,EPS128RX,ECRAN MOTORISE,EUROPSONIC,Tv - Image - Son,Ecran de projection,,,600,1,24/01/2018,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/57/EPS128RX-1.jpg
58,WLB4265BFIXL,TABLE INDUCTION 65CM,WHIRLPOOL,Gros électroménager,Cuisson,Plaque de cuisson,,599,1,20/02/2024,20/02/2024,http://nas.latelier22.fr/pascal-chantrel/images/58/WLB4265BFIXL-1.jpg
59,WBB8360NE,TABLE INDUCTION WHIRPOOL,WHIRLPOOL,Gros électroménager,Cuisson,Plaque de cuisson,,"549,9",1,05/03/2024,05/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/59/WBB8360NE-1.jpg
60,32LQ630B,led HD.81.50hz.smarttv.assist.2hdmi.,LG Electronics,Tv - Image - Son,Téléviseur,,,"299,99",1,02/11/2022,26/01/2024,http://nas.latelier22.fr/pascal-chantrel/images/60/32LQ630B-1.jpg
61,32PFS680512,LED.80.fhd.pixel+hd.3hdmi.2usb.smarttv.,PHILIPS,Tv - Image - Son,Téléviseur,,,"299,99",1,12/08/2021,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/61/32PFS680512-1.jpg
62,32PHS550712,LED.81.HD.60hz.2hdmi.usb.pixel plus hd.,PHILIPS,Tv - Image - Son,Téléviseur,,,"229,99",1,25/08/2022,08/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/62/32PHS550712-1.jpg
63,TQ65LS03BGUXXC,QLED SAMSUNG 4K,SAMSUNG,Tv - Image - Son,Téléviseur,,,"1999,99",1,27/12/2023,27/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/63/TQ65LS03BGUXXC-1.jpg
64,TU43CU8005KXXC,LED SAMSUNG,SAMSUNG,Tv - Image - Son,Téléviseur,,,590,1,25/10/2023,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/64/TU43CU8005KXXC-1.jpg
